latitude,longitude,name,desc,color,source,precision
43.7767982,-79.6541595,"8950 HWY 50, BRAMPTON, ON, L6P3A3","8950 HWY-50, Brampton, ON L6P, Canada",,Bing Maps,address
43.7841301,-79.6620102,"3938 COTTRELLE BLVD, BRAMPTON, ON, L6P2R1","3938 Cottrelle Blvd, Brampton, ON L6P 2R1, Canada",,Bing Maps,address
43.7629166,-79.7221603,"9990 AIRPORT RD, BRAMPTON, ON, L6S0C5","9990 Airport Rd, Brampton, ON L6S 0C5, Canada",,Bing Maps,address
43.7845001,-79.5932693,"145 WOODBRIDGE AVE, WOODBRIDGE, ON, L4L2S6","145 Woodbridge Ave, Woodbridge, ON L4L 2S6, Canada",,Bing Maps,address
43.7164688,-79.6347809,"7145 GOREWAY DR, MISSISSAUGA, ON, L4T2T5","7145 Goreway Dr, Mississauga, ON L4T 2T5, Canada",,Bing Maps,address
43.7297401,-79.6045456,"205 HUMBER COLLEGE BOULEVARD, TORONTO, ON, M9W5L7","205 Humber College Blvd, Etobicoke, ON M9W, Canada",,Bing Maps,address
43.7344551,-79.7430191,"930 NORTH PARK DRIVE, BRAMPTON, ON, L6S3Y5","930 N Park Dr, Brampton, ON L6S 3Y5, Canada",,Bing Maps,address
43.7080193,-79.6946793,"69 BRAMALEA RD, BRAMALEA, ON, L6T2W9","69 Bramalea Rd, Brampton, ON L6T 2W9, Canada",,Bing Maps,address
43.7172623,-79.7234192,"25 Peel Centre Drive, Brampton, ON, L6T3R5","25 Peel Centre Dr, Brampton, ON L6T, Canada",,Bing Maps,address
43.7172623,-79.7234192,"25 PEEL CENTRE DRIVE, BRAMPTON, ON, L6T3R5","25 Peel Centre Dr, Brampton, ON L6T, Canada",,Bing Maps,address
43.7158623,-79.7254028,"100 PEEL CENTRE DR., BRAMPTON, ON, L6T4G8","100 Peel Centre Dr, Brampton, ON L6T 4G8, Canada",,Bing Maps,address
43.7166481,-79.724556,"52 PEEL CENTRE DR, BRAMPTON, ON, L6T0E2","52 Peel Centre Dr, Brampton, ON L6T 0E2, Canada",,Bing Maps,address
43.7405739,-79.5849304,"1530 ALBION RD, REXDALE, ON, M9V1B4","1530 Albion Rd, Etobicoke, ON M9V, Canada",,Bing Maps,address
