latitude,longitude,name,desc,color,source,precision
43.6858597,-79.7601242,"1 Main St N, Brampton","1 Main St N, Brampton, ON L6X 1M8, Canada",,Bing Maps,address
43.6776886,-79.7486725,"160 Main St S, Brampton","160 Main St S, Brampton, ON L6W 2C9, Canada",,Bing Maps,address
43.6952934,-79.7493286,"1 Kennedy Road South, Brampton","1 Kennedy Rd S, Brampton, ON L6W 3C9, Canada",,Bing Maps,address
43.6969948,-79.7477722,"235 Queen St E, Brampton","235 Queen St E, Brampton, ON L6W 2B5, Canada",,Bing Maps,address
43.6659889,-79.7804413,"8965 Chinguacousy Rd, Brampton","8965 Chinguacousy Rd, Brampton, ON L6Y 0J2, Canada",,Bing Maps,address
43.6659775,-79.7809296,"8978 Chinguacousy Rd, Brampton","8978 Chinguacousy Rd, Brampton, ON L6Y 5X6, Canada",,Bing Maps,address
43.7042236,-79.7607346,"140 Kennedy Rd N, Brampton","140 Kennedy Rd N, Brampton, ON L6V 2N4, Canada",,Bing Maps,address
43.6961365,-79.7979584,"10010 Mclaughlin Rd, Brampton","10010 McLaughlin Rd N, Brampton, ON L7A 2X6, Canada",,Bing Maps,address
43.7054443,-79.7870483,"9 Bovaird Dr, Brampton","9 Bovaird Dr W, Brampton, ON L6X, Canada",,Bing Maps,address
43.6820641,-79.8029022,"9800 Chinguacousy Rd, Brampton","9800 Chinguacousy Rd, Brampton, ON L6X 5E9, Canada",,Bing Maps,address
43.6975822,-79.7998428,"10098 Mclaughlin Rd, Brampton","10098 McLaughlin Rd N, Brampton, ON L7A 2X6, Canada",,Bing Maps,address
43.65065,-79.7595367,"495 Charolais Blvd, Brampton","495 Charolais Blvd, Brampton, ON L6Y 0M2, Canada",,Bing Maps,address
43.6756096,-79.7218933,"7995 Kennedy Rd S, Brampton","7995 Kennedy Rd S, Brampton, ON L6W 0A2, Canada",,Bing Maps,address
43.7132378,-79.7453918,"456 Vodden St E, Brampton","456 Vodden St E, Brampton, ON L6S 5Y7, Canada",,Bing Maps,address
43.704422,-79.7271881,"145 Clark Blvd, Brampton","145 Clark Blvd, Brampton, ON L6T 4G6, Canada",,Bing Maps,address
43.7195816,-79.7735291,"281 Richvale Dr, Brampton","281 Richvale Dr S, Brampton, ON L6Z 4W5, Canada",,Bing Maps,address
43.6463356,-79.7540054,"7970 Mavis Rd, Brampton","7970 Mavis Rd, Brampton, ON L6Y 5L5, Canada",,Bing Maps,address
