latitude,longitude,name,desc,color,source,precision
43.7912216,-79.7610703,"12016 Airport Road Caledon, ON, L7C2W1","12016 Airport Rd, Caledon, ON L7C 2W1, Canada",,Bing Maps,address
43.7780609,-79.7443695,"160 Yellow Avens Blvd Brampton, ON, L6M0R5","160 Yellow Avens Blvd, Brampton, ON L6R 0M5, Canada",,Bing Maps,address
43.7723808,-79.6263809,"2 Vaughan Valley Road Vaughan, ON, L4K3C4","2 Vaughan Valley Blvd, Woodbridge, ON L4H 0B1, Canada",,Bing Maps,address
43.7712402,-79.7563324,"140 Father Tobin Road Brampton, ON, L6R0E3","140 Father Tobin Rd, Brampton, ON L6R 3P1, Canada",,Bing Maps,address
43.770649,-79.7795029,"11815 Bramalea Road Brampton, ON, L6R3S9","11815 Bramalea Rd, Brampton, ON L6R 3S9, Canada",,Bing Maps,address
43.7615356,-79.7197418,"9919 Airport Road Brampton, ON, L6S0A2","9919 Airport Rd, Brampton, ON L6S 0A2, Canada",,Bing Maps,address
43.7591629,-79.7311096,"47 Mountainash Road Brampton, ON, L6R1W4","47 Mountainash Rd, Brampton, ON L6R 1W4, Canada",,Bing Maps,address
43.7545433,-79.757637,"10511 Bramalea Road Brampton, ON, L6R3P4","10511 Bramalea Rd, Brampton, ON L6R 3P4, Canada",,Bing Maps,address
43.7540245,-79.6836853,"3550 Queen Street East Brampton, ON, L6P3L2","3550 Queen St E, Brampton, ON L6P 3L2, Canada",,Bing Maps,address
43.7479935,-79.7278061,"2001 North Park Drive Brampton, ON, L6S5Z9","2001 N Park Dr, Brampton, ON L6S 5Z9, Canada",,Bing Maps,address
43.7451591,-79.6146088,"1839 Albion Road Etobicoke, ON, M9W5S8","1839 Albion Rd, Etobicoke, ON M9W, Canada",,Bing Maps,address
43.7411537,-79.7735367,"490 Great Lakes Drive Brampton, ON, L6R0R2","490 Great Lakes Dr, Brampton, ON L6R 0R2, Canada",,Bing Maps,address
43.7315102,-79.7622604,"50 Great Lakes Drive Brampton, ON, L6R2K7","50 Great Lakes Dr, Brampton, ON L6R 2K7, Canada",,Bing Maps,address
43.7306595,-79.7602234,"5 Great Lakes Drive Brampton, ON, L6R2R8","5 Great Lakes Dr, Brampton, ON L6R 2S5, Canada",,Bing Maps,address
43.7248917,-79.7425079,"1235 Williams Parkway,  Brampton, ON, L6S4S4","1235 Williams Pkwy E, Brampton, ON L6S, Canada",,Bing Maps,address
43.7248917,-79.7425079,"1235 Williams Parkway  Brampton, ON, L6S4S4","1235 Williams Pkwy E, Brampton, ON L6S, Canada",,Bing Maps,address
43.7212181,-79.6968842,"700 Balmoral Drive Brampton, ON, L6T1X2","700 Balmoral Dr, Brampton, ON L6T 1X2, Canada",,Bing Maps,address
43.7194786,-79.6379929,"7205 Goreway Drive Mississauga, ON, L4T2T9","7205 Goreway Dr, Mississauga, ON L4T 2T9, Canada",,Bing Maps,address
43.7172623,-79.7234192,"25 Peel Centre Dr Brampton, ON, L6T3R5","25 Peel Centre Dr, Brampton, ON L6T, Canada",,Bing Maps,address
43.7166252,-79.7245789,"54 Peel Centre Drive Brampton, ON, L6T0E2","54 Peel Centre Dr, Brampton, ON L6T 0E2, Canada",,Bing Maps,address
43.7157135,-79.6272202,"6990 Rexwood Road Mississauga, ON, L4T4E6","6990 Rexwood Rd, Mississauga, ON L4V, Canada",,Bing Maps,address
43.715229,-79.5546417,"2251 Islington Avenue North Etobicoke, ON, M9W3W6","2251 Islington Ave, Etobicoke, ON M9W 3W6, Canada",,Bing Maps,address
43.7110786,-79.5670013,"135 Rexdale Blvd Rexdale, ON, M9W1P7","135 Rexdale Blvd, Etobicoke, ON M9W 1P7, Canada",,Bing Maps,address
43.7073593,-79.6985931,"36 Avondale Boulevard Brampton, ON, L6T1H3","36 Avondale Blvd, Brampton, ON L6T 1H3, Canada",,Bing Maps,address
43.7058487,-79.7823105,"66 Quarry Edge Drive Brampton, ON, L6V4K2","66 Quarry Edge Dr, Brampton, ON L6V 4K2, Canada",,Bing Maps,address
43.7031822,-79.7598343,"131 Kennedy Rd N Brampton, ON, L6V1X9","131 Kennedy Rd N, Brampton, ON L6V 1X9, Canada",,Bing Maps,address
43.6991653,-79.7457657,"284 Queen Street East Brampton, ON, L6V1C2","284 Queen St E, Brampton, ON L6V 1C2, Canada",,Bing Maps,address
43.6987,-79.6343994,"6725 Airport Road Mississauga, ON, L4V1V2","6725 Airport Rd, Mississauga, ON L4V 1V2, Canada",,Bing Maps,address
43.6976738,-79.8236847,"10631 Chinguacousy Drive Brampton, ON, L7A0N5","10631 Chinguacousy Rd, Brampton, ON L7A 0N5, Canada",,Bing Maps,address
43.6909981,-79.6952438,"199 Advance Boulevard Brampton, ON, L6T4N2","199 Advance Blvd, Brampton, ON L6T 4N2, Canada",,Bing Maps,address
