latitude,longitude,name,desc,color,source,precision
43.7158623,-79.7254028,"100 Peel Ctr Dr Bramalea City, Brampton, ON L6T 4G8","100 Peel Centre Dr, Brampton, ON L6T 4G8, Canada",,Bing Maps,address
43.7239876,-79.8118286,"10908 Hurontario St Unit F1, Brampton, ON L7A 3R9","10908 Hurontario St, Brampton, ON L7A 3R9, Canada",,Bing Maps,address
43.7827301,-79.7489014,"10990 Airport Rd, Brampton, ON L6R 0E1","10990 Airport Rd, Brampton, ON L6R 0E1, Canada",,Bing Maps,address
43.7058792,-79.8352814,"10998 Chinguacousy Rd, Brampton, ON L7A 0P1","10998 Chinguacousy Rd, Brampton, ON L7A 0P1, Canada",,Bing Maps,address
43.8610725,-79.7127533,"12684 Hwy 50, Bolton, ON L7E 1L9","12684 HWY-50, Bolton, ON L7E 1L9, Canada",,Bing Maps,address
43.7016106,-79.7789078,"130 Brickyard Way, Brampton, ON L6V 4N1","130 Brickyard Way, Brampton, ON L6V 4N1, Canada",,Bing Maps,address
43.6604881,-79.6536636,"1500 Meyerside Dr, Mississauga, ON L5T 1V4","1500 Meyerside Dr, Mississauga, ON L5T 1V4, Canada",,Bing Maps,address
43.7261162,-79.7962646,"150 Sandalwood Parkway East, Brampton, ON L6Z 1Y5","150 Sandalwood Pkwy E, Brampton, ON L6Z 1Y5, Canada",,Bing Maps,address
43.733181,-79.588707,"1701 Martingrove Rd, Etobicoke, ON M9V 5P5","1701 Martin Grove Rd, Etobicoke, ON M9V 4N4, Canada",,Bing Maps,address
43.6676407,-79.7350616,"1 Bartley Bull Pkwy, Brampton, ON L6W 3T7","1 Bartley Bull Pkwy, Brampton, ON L6W, Canada",,Bing Maps,address
43.6857796,-79.7598038,"1 Queen St E, Brampton, ON L6W 2A7","1 Queen St E, Brampton, ON L6W 2A7, Canada",,Bing Maps,address
43.6204605,-79.6724396,"20 Milverton Dr, Mississauga, ON L5R 3G2","20 Milverton Dr, Mississauga, ON L5R 3G2, Canada",,Bing Maps,address
43.7299156,-79.7906036,"230 Sandalwood Pkwy E, Brampton, ON L6Z 1R3","230 Sandalwood Pkwy E, Brampton, ON L6Z 1R3, Canada",,Bing Maps,address
43.7488785,-79.5612183,"2574 Finch Ave W, North York, ON M9M 2G3","2574 Finch Ave W, North York, ON M9M, Canada",,Bing Maps,address
43.7172623,-79.7234192,"25 Peel Centre Dr, Brampton, ON L6T 3R5","25 Peel Centre Dr, Brampton, ON L6T, Canada",,Bing Maps,address
43.756691,-79.5892715,"2700 Kipling Ave N, Etobicoke, ON M9V 4P2","2700 Kipling Ave, Etobicoke, ON M9V, Canada",,Bing Maps,address
43.7035789,-79.7403183,"295a Queen St E, Brampton, ON L6W 3W9","295 Queen St E, Brampton, ON L6W 3W9, Canada",,Bing Maps,address
43.6875458,-79.7649536,"31 Church St, Brampton, ON L6X 1H2","31 Church St W, Brampton, ON L6X 1H2, Canada",,Bing Maps,address
43.6949463,-79.7718353,"370 Main St N, Brampton, ON L6V 4A4","370 Main St N, Brampton, ON L6V 4A4, Canada",,Bing Maps,address
43.655674,-79.7443924,"545 Steeles Avenue West, Brampton, ON L6Y 4E7","545 Steeles Ave W, Brampton, ON L6Y 4E7, Canada",,Bing Maps,address
43.759613,-79.7313766,"55 Mountainash Rd, Brampton, ON L6R 1W4","55 Mountainash Rd, Brampton, ON L6R 1W4, Canada",,Bing Maps,address
43.637291,-79.7183533,"7060 Mclaughlin Road, Mississauga, ON L5W 1W7","7060 McLaughlin Rd, Mississauga, ON L5W 1W7, Canada",,Bing Maps,address
43.7194786,-79.6379929,"7205 Goreway Dr, Mississauga, ON L4T 2T9","7205 Goreway Dr, Mississauga, ON L4T 2T9, Canada",,Bing Maps,address
43.5989304,-79.6802368,"728 Bristol Road West, Mississauga, ON L5R 4A3","728 Bristol Rd W, Mississauga, ON L5R 4A3, Canada",,Bing Maps,address
43.6588593,-79.7233505,"7685 Hurontario St S, Brampton, ON L6W 0B4","7685 Hurontario St, Brampton, ON L6W, Canada",,Bing Maps,address
43.7461319,-79.6988983,"9085 Airport Rd, Brampton, ON L6S 0B8","9085 Airport Rd, Brampton, ON L6S 0B8, Canada",,Bing Maps,address
43.8262634,-79.5564499,"9200 Weston Rd, Woodbridge, ON L4H 2P8","9200 Weston Rd, Woodbridge, ON L4H 2P8, Canada",,Bing Maps,address
43.6563988,-79.8150864,"9435 Mississauga Rd Unit D, Brampton, ON L6X 0Z8","9435 Mississauga Rd, Brampton, ON L6X 0Z8, Canada",,Bing Maps,address
43.6437302,-79.7559814,"96 Clementine Dr, Brampton, ON L6Y 0L8","96 Clementine Dr, Brampton, ON L6Y 0L8, Canada",,Bing Maps,address
43.736351,-79.5620117,"972 Albion Rd, Etobicoke, ON M9V 1A7","972 Albion Rd, Etobicoke, ON M9V 1A7, Canada",,Bing Maps,address
43.7710457,-79.7560959,"135 Father Tobin Rd, Brampton, ON L6R 0W9","135 Father Tobin Rd, Brampton, ON L6R 0W9, Canada",,Bing Maps,address
43.7125397,-79.5678635,"2038 Kipling Ave, Rexdale, ON M9W 4K1","2038 Kipling Ave, Etobicoke, ON M9W, Canada",,Bing Maps,address
43.7845955,-79.6600723,"3978 Cottrelle Blvd, Brampton, ON L6P 2R1","3978 Cottrelle Blvd, Brampton, ON L6P 2R1, Canada",,Bing Maps,address
43.7840385,-79.5728683,"4499 Highway 7, Woodbridge, ON L4L 9A9","4499 HWY-7, Woodbridge, ON L4L, Canada",,Bing Maps,address
43.6038094,-79.6483383,"4555 Hurontario St U-C10, Mississauga, ON L4Z 3M1","4555 Hurontario St, Mississauga, ON L4Z 3M1, Canada",,Bing Maps,address
43.7697906,-79.5459518,"4999 Steeles Ave W, North York, ON M9L 1R4","4999 Steeles Ave W, North York, ON M9L 1R4, Canada",,Bing Maps,address
43.7178116,-79.5970154,"500 Rexdale Blvd, Etobicoke, ON M9W 6K5","500 Rexdale Blvd, Etobicoke, ON M9W 6K5, Canada",,Bing Maps,address
43.8165855,-79.6028137,"5100 Rutherford Rd, Vaughan, ON L4H 2J2","5100 Rutherford Rd, Woodbridge, ON L4H, Canada",,Bing Maps,address
43.7749901,-79.6126556,"5731 Highway 7 Unit 26, Woodbridge, ON L4L 4Y9","5731 HWY-7, Woodbridge, ON L4L 4Y9, Canada",,Bing Maps,address
43.6808815,-79.8149796,"5 Worthington Ave, Brampton, ON L7A 2Y7","5 Worthington Ave, Brampton, ON L7A 2Y7, Canada",,Bing Maps,address
43.5985756,-79.7130585,"6051 Creditview Rd, Mississauga, ON L5V 2A8","6051 Creditview Rd, Mississauga, ON L5V 2A8, Canada",,Bing Maps,address
43.587841,-79.7417679,"6435 Erin Mills Pkwy, Mississauga, ON L5N 3P3","6435 Erin Mills Pkwy, Mississauga, ON L5N 4H4, Canada",,Bing Maps,address
43.7006226,-79.7087555,"8125 Dixie Road, Brampton, ON L6T 2J9","8125 Dixie Rd, Brampton, ON L6T 2J9, Canada",,Bing Maps,address
43.6664772,-79.7811279,"8995 Chinguacousy Rd, Brampton, ON L6Y 0J2","8995 Chinguacousy Rd, Brampton, ON L6Y 0J2, Canada",,Bing Maps,address
43.7318649,-79.7628632,"90 Great Lakes Dr, Brampton, ON L6R 2K7","90 Great Lakes Dr, Brampton, ON L6R 2K7, Canada",,Bing Maps,address
43.7854691,-79.6247864,"8270 Highway 27, Vaughan, ON L4H 0R9","8270 HWY-27, Woodbridge, ON L4H 0R9, Canada",,Bing Maps,address

