latitude,longitude,name,desc,color,source,precision
43.9317665,-80.1007538,"150 First Street, Orangeville, ON, L6W3T7","150 1st St, Orangeville, ON L9W, Canada",teal,Bing Maps,address
43.9118614,-79.4472122,"11680 YONGE ST, RICHMOND HILL, ON, L4E0K4","11680 Yonge St, Richmond Hill, ON L4E 0K4, Canada",teal,Bing Maps,address
43.8763542,-79.4140854,"1070 MAJOR MACKENZIE DRIVE EAST UNIT 116, RICHMOND HILL, ON, L4S1P3","1070 Major MacKenzie Dr E, Richmond Hill, ON L4S 1P3, Canada",teal,Bing Maps,address
43.8718758,-79.7271805,"405 QUEEN ST S, BOLTON, ON, L7E2B5","405 Queen St S, Bolton, ON L7E 2B5, Canada",teal,Bing Maps,address
43.8709412,-79.7258682,"475 QUEEN ST S, BOLTON, ON, L7E2B5","475 Queen St S, Bolton, ON L7E 2B5, Canada",teal,Bing Maps,address
43.8611717,-79.3951797,"1 SPADINA ROAD, RICHMOND HILL, ON, L4B3M2","1 Spadina Rd, Richmond Hill, ON L4B 3M2, Canada",teal,Bing Maps,address
43.8610725,-79.7127533,"12684 Hwy 50, Bolton, ON L7E 1L9","12684 HWY-50, Bolton, ON L7E 1L9, Canada",green,Bing Maps,address
43.8548088,-79.4341965,"9350 YONGE ST, RICHMOND HILL, ON, L4C5G2","9350 Yonge St, Richmond Hill, ON L4C 5G2, Canada",teal,Bing Maps,address
43.8528175,-79.5217133,"2535 MAJOR MACKENZIE DR, MAPLE, ON, L6A1C6","2535 Major MacKenzie Dr, Maple, ON L6A 1C6, Canada",teal,Bing Maps,address
43.8465042,-79.4585724,"9200 BATHURST STREET, MAPLE, ON, L4J8W1","9200 Bathurst St, Vaughan, ON L4J 8W1, Canada",teal,Bing Maps,address
43.8456421,-79.4692612,"1076 RUTHERFORD ROAD, 5, MAPLE, ON, L6A1S2","1076 Rutherford Rd, Maple, ON L6A, Canada",teal,Bing Maps,address
43.8448181,-79.5599213,"3737 MAJOR MACKENZIE DR, WOODBRIDGE, ON, L4H0A2","3737 Major MacKenzie Dr, Woodbridge, ON L4H 0A2, Canada",teal,Bing Maps,address
43.8440399,-79.3844376,"550 HWY 7 EAST, RICHMOND HILL, ON, L4B3Z4","550 HWY-7 E, Richmond Hill, ON L4B 3Z4, Canada",teal,Bing Maps,address
43.8416786,-79.4849777,"1621 RUTHERFORD RD, VAUGHAN, ON, L4K0C6","1621 Rutherford Rd, Concord, ON L4K 0C6, Canada",teal,Bing Maps,address
