latitude,longitude,name,desc,color,source,precision
44.080173,-80.195955,"516 Main St E, Shelburne","516 Main Street East, Shelburne, ON, CA",,MapQuest Open,address
44.022208,-79.805847,"2 Queen St S, Tottenham","2 Queen Street South, Tottenham, ON, CA",,MapQuest Open,address
43.919466,-80.095728,"136 Broadway, Orangeville","136 Broadway, Orangeville, ON, CA",,MapQuest Open,address
43.900678,-80.315508,"43 Main St, Grand Valley","43 Main Street, Grand Valley, ON, CA",,MapQuest Open,address
43.879698,-79.738651,"8 Queen St N, Bolton","8 Queen Street North, Bolton, ON, CA",,MapQuest Open,address
43.870056,-79.721913,"1 Queensgate Blvd, Bolton","1 Queensgate Boulevard, Bolton, ON, CA",,MapQuest Open,address
43.865499,-79.860649,"15771 Airport Road, Caledon East","15771 Airport Road, Caledon East, ON, CA",,MapQuest Open,address
43.861323,-79.713057,"12612 Highway 50, Bolton","12612 Highway 50, Bolton, ON, CA",,MapQuest Open,address
43.784725,-79.59279,"131 Woodbridge Ave, Woodbridge","131 Woodbridge Avenue, Vaughan, ON, CA",,MapQuest Open,address
43.773216,-79.493803,"4700 Keele St, Toronto","4700 Keele Street, Toronto, ON, CA",,MapQuest Open,address
43.770652,-80.064718,"152 Main St, Erin","152 Main Street, Erin, Wellington County, ON, CA",,MapQuest Open,address
43.758906,-79.518276,"4000 Jane St, North York","4000 Jane Street, Toronto, ON, CA",,MapQuest Open,address
43.75809,-79.730179,"43 Mountainash Rd, Brampton","43 Mountainash Road, Brampton, ON, CA",,MapQuest Open,address
43.74953,-79.739923,"7 Sunny Meadow Blvd, Brampton","7 Sunny Meadow Boulevard, Brampton, ON, CA",,MapQuest Open,address
43.748292,-79.560571,"2550 Finch Ave W, North York","2550 Finch Avenue West, Toronto, ON, CA",,MapQuest Open,address
43.743424,-79.603781,"11 Westmore Dr, Toronto","11 Westmore Drive, Toronto, ON, CA",,MapQuest Open,address
43.742475,-79.696723,"2963 Queen St E, Brampton","2963 Queen Street East, Brampton, ON, CA",,MapQuest Open,address
43.735264,-79.823526,"3068 Mayfield Rd, Brampton","3068 Mayfield Road, Brampton, ON, CA",,MapQuest Open,address
43.735199,-79.560729,"900 Albion Road, Toronto","900 Albion Road, Toronto, ON, CA",,MapQuest Open,address
43.733722,-79.824508,"11965 Hurontario St, Brampton","11965 Hurontario Street, Brampton, ON, CA",,MapQuest Open,address
43.731304,-79.76132,"25 Great Lakes Dr, Brampton","25 Great Lakes Drive, Brampton, ON, CA",,MapQuest Open,address
43.727921,-79.479309,"1084 Wilson Ave, Toronto","1084 Wilson Avenue, Toronto, ON, CA",,MapQuest Open,address
43.727283,-79.482356,"2766 Keele St, North York","2766 Keele Street, Toronto, ON, CA",,MapQuest Open,address
43.725891,-79.796453,"164 Sandalwood Parkway E, Brampton","164 Sandalwood Parkway East, Brampton, ON, CA",,MapQuest Open,address
43.724044,-79.669086,"2645 Steeles Ave E, Brampton","2645 Steeles Avenue East, Brampton, ON, CA",,MapQuest Open,address
43.720256,-79.715409,"17 Kings Cross Rd, Brampton","17 Kings Cross Road, Brampton, ON, CA",,MapQuest Open,address
43.720241,-79.511008,"1597 Wilson Ave, North York","1597 Wilson Avenue, Toronto, ON, CA",,MapQuest Open,address
43.719152,-79.639065,"7205 Goreway Dr, Mississauga","7205 Goreway Drive, Mississauga, ON, CA",,MapQuest Open,address
43.717256,-79.683782,"8155 Torbram Road, Brampton","8155 Torbram Road, Brampton, ON, CA",,MapQuest Open,address
43.714868,-79.721579,"25 Peel Centre Dr, Brampton","25 Peel Centre Drive, Brampton, ON, CA",,MapQuest Open,address
43.712795,-79.747469,"456 Vodden St E, Brampton","456 Vodden Street East, Brampton, ON, CA",,MapQuest Open,address
43.709378,-79.505771,"1890 Jane Street, Toronto","1890 Jane Street, Toronto, ON, CA",,MapQuest Open,address
43.705954,-79.692883,"50 Bramalea Rd, Brampton","50 Bramalea Road, Brampton, ON, CA",,MapQuest Open,address
43.704404,-79.727204,"145 Clark Blvd, Brampton","145 Clark Boulevard, Brampton, ON, CA",,MapQuest Open,address
43.704295,-79.504374,"1732 Jane St, Toronto","1732 Jane Street, Toronto, ON, CA",,MapQuest Open,address
43.703368,-79.759536,"140 Kennedy Rd N, Brampton","140 Kennedy Road North, Brampton, ON, CA",,MapQuest Open,address
43.697284,-79.545151,"261 Dixon Road, Toronto","261 Dixon Road, Toronto, ON, CA",,MapQuest Open,address
43.695671,-79.749204,"235 Queen St E, Brampton","235 Queen Street East, Brampton, ON, CA",,MapQuest Open,address
43.689774,-79.578299,"655 Dixon Rd, Toronto","655 Dixon Road, Toronto, ON, CA",,MapQuest Open,address
43.687888,-79.616403,"6205 Airport Rd, Mississauga","6205 Airport Road, Mississauga, ON, CA",,MapQuest Open,address
43.685918,-79.760258,"1 Main St N, Brampton","1 Main Street North, Brampton, ON, CA",,MapQuest Open,address
43.685015,-79.524118,"140 La Rose Ave, Etobicoke","140 La Rose Avenue, Toronto, ON, CA",,MapQuest Open,address
43.682129,-79.467941,"500 Rogers Rd, Toronto","500 Rogers Road, Toronto, ON, CA",,MapQuest Open,address
43.680989,-79.682551,"7280 Dixie Road, Mississauga","7280 Dixie Road, Mississauga, ON, CA",,MapQuest Open,address
43.680806,-79.509302,"280 Scarlett Rd, Toronto","280 Scarlett Road, Toronto, ON, CA",,MapQuest Open,address
43.67783,-79.748829,"160 Main St S, Brampton","160 Main Street South, Brampton, ON, CA",,MapQuest Open,address
43.664972,-79.468592,"384 Pacific Ave, Toronto","384 Pacific Avenue, Toronto, ON, CA",,MapQuest Open,address
43.661834,-79.519841,"270 The Kingsway, Etobicoke","270 The Kingsway, Toronto, ON, CA",,MapQuest Open,address
43.661525,-79.821863,"9495 Mississauga Rd, Brampton","9495 Mississauga Road, Brampton, ON, CA",,MapQuest Open,address
43.660084,-79.654343,"6240 Dixie Rd, Mississauga","6240 Dixie Road, Mississauga, ON, CA",,MapQuest Open,address
43.655622,-79.695813,"480 Derry Rd E, Mississauga","480 Derry Road East, Brampton, ON, CA",,MapQuest Open,address
43.654215,-79.422874,"833 College St, Toronto","833 College Street, Toronto, ON, CA",,MapQuest Open,address
43.649614,-79.902132,"232 Guelph St, Georgetown","232 Guelph Street, Halton Hills, ON, CA",,MapQuest Open,address
43.649496,-79.925849,"83 Main St S, Georgetown","83 Main Street South, Halton Hills, ON, CA",,MapQuest Open,address
43.645506,-79.566175,"401 The West Mall, Etobicoke","401 The West Mall, Toronto, ON, CA",,MapQuest Open,address
43.644744,-79.448252,"179 Roncesvalles Ave, Toronto","179 Roncesvalles Avenue, Toronto, ON, CA",,MapQuest Open,address
43.643009,-79.57326,"632 Burnhamthorpe Rd, Mississauga","632 Burnhamthorpe Road, Toronto, ON, CA",,MapQuest Open,address
43.642999,-79.418577,"1001 Queen St W, Toronto","1001 Queen Street West, Toronto, ON, CA",,MapQuest Open,address
43.642643,-79.427382,"2 Gladstone Ave, Toronto","2 Gladstone Avenue, Toronto, ON, CA",,MapQuest Open,address
43.64135,-79.414724,"1005 King St W, Toronto","1005 King Street West, Toronto, ON, CA",,MapQuest Open,address
43.638841,-79.419563,"51 Hanna Ave, Toronto","51 Hanna Avenue, Toronto, ON, CA",,MapQuest Open,address
43.63821,-80.027147,"370 Queen St, Acton","370 Queen Street, Halton Hills, ON, CA",,MapQuest Open,address
43.638116,-79.430679,"1265 King Street W, Toronto","1265 King Street West, Toronto, ON, CA",,MapQuest Open,address
43.635519,-79.562356,"290 The West Mall, Etobicoke","290 The West Mall, Toronto, ON, CA",,MapQuest Open,address
43.635459,-79.541397,"5322 Dundas St W, Etobicoke","5322 Dundas Street West, Toronto, ON, CA",,MapQuest Open,address
43.633649,-80.031356,"252 Queen Street, Acton","252 Queen Street, Halton Hills, ON, CA",,MapQuest Open,address
43.632845,-79.878212,"333 Mountainview Rd S, Georgetown","333 Mountainview Road South, Halton Hills, ON, CA",,MapQuest Open,address
43.632217,-79.545282,"5470 Dundas St W, Etobicoke","5470 Dundas Street West, Toronto, ON, CA",,MapQuest Open,address
43.630916,-79.481184,"125 The Queensway, Etobicoke","125 The Queensway, Toronto, ON, CA",,MapQuest Open,address
43.628882,-79.490453,"515 The Queensway, Etobicoke","515 The Queensway, Toronto, ON, CA",,MapQuest Open,address
43.628178,-79.775954,"1990 Steeles Ave W, Brampton","1990 Steeles Avenue West, Brampton, ON, CA",,MapQuest Open,address
43.62693,-79.47851,"16 Brookers Lane, Toronto","16 Brookers Lane, Toronto, ON, CA",,MapQuest Open,address
43.626095,-79.679468,"5980 Hurontario St, Mississauga","5980 Hurontario Street, Mississauga, ON, CA",,MapQuest Open,address
43.626076,-79.607004,"4141 Dixie Rd, Mississauga","4141 Dixie Road, Mississauga, ON, CA",,MapQuest Open,address
43.623221,-79.602714,"4011 Dixie Rd, Mississauga","4011 Dixie Road, Mississauga, ON, CA",,MapQuest Open,address
43.621065,-79.524775,"1233 The Queensway, Etobicoke","1233 The Queensway, Toronto, ON, CA",,MapQuest Open,address
43.619565,-79.485329,"2275 Lake Shore Blvd W, Etobicoke","2275 Lake Shore Boulevard West, Toronto, ON, CA",,MapQuest Open,address
43.619021,-79.676694,"25 Milverton Dr, Mississauga","25 Milverton Drive, Mississauga, ON, CA",,MapQuest Open,address
43.612321,-79.542204,"540 Evans Ave, Etobicoke","540 Evans Avenue, Toronto, ON, CA",,MapQuest Open,address
43.611542,-79.558414,"25 The West Mall, Etobicoke","25 The West Mall, Toronto, ON, CA",,MapQuest Open,address
43.610042,-79.747489,"6880 Financial Dr, Mississauga","6880 Financial Drive, Mississauga, ON, CA",,MapQuest Open,address
43.609594,-79.583172,"1404 Dundas St E, Mississauga","1404 Dundas Street East, Mississauga, ON, CA",,MapQuest Open,address
43.607793,-79.654877,"5008 Hurontario St, Mississauga","5008 Hurontario Street, Mississauga, ON, CA",,MapQuest Open,address
43.597457,-79.783714,"2980 Argentia Rd, Mississauga","2980 Argentia Road, Brampton, ON, CA",,MapQuest Open,address
43.597426,-79.761633,"7025 Millcreek Dr, Mississauga","7025 Millcreek Drive, Mississauga, ON, CA",,MapQuest Open,address
43.597114,-79.52107,"3199 Lake Shore Blvd W, Toronto","3199 Lake Shore Boulevard West, Toronto, ON, CA",,MapQuest Open,address
43.594917,-79.639038,"33 City Centre Dr, Mississauga","33 City Centre Drive, Mississauga, ON, CA",,MapQuest Open,address
43.594252,-79.516231,29 Colonel Samuel Smith Park Dr...,"29 Colonel Samuel Smith Park Drive, Toronto, ON, CA",,MapQuest Open,address
43.593005,-79.765413,"2760 Derry Rd W, Mississauga","2760 Derry Road West, Mississauga, ON, CA",,MapQuest Open,address
43.592891,-79.643381,"100 City Centre Dr, Mississauga","100 City Centre Drive, Mississauga, ON, CA",,MapQuest Open,address
43.592274,-79.668767,"4885 Mavis Rd, Mississauga","4885 Mavis Road, Mississauga, ON, CA",,MapQuest Open,address
43.581739,-79.713568,"189 Queen St S, Mississauga","189 Queen Street South, Mississauga, ON, CA",,MapQuest Open,address
